Time,UT,Conditions,Comment
22:33,2013-07-28 22:33:00,TN,Starting the night as Thin. - Paranal Observatory
01:00,2013-07-29 01:00:00,CL,"Changing to Clear. Some thin clouds below 28 degrees to the W, will pass to the S. - Paranal Observatory"
04:18,2013-07-29 04:18:00,CL,According to OCAM. - Paranal Observatory
10:12,2013-07-29 10:12:00,CL,"Closing as Clear. Thin clouds to NW and SW, in both cases below 15 degress. - Paranal Observatory"
22:28,2013-07-29 22:28:00,TN,Starting the night as Thin. - Paranal Observatory
00:09,2013-07-30 00:09:00,CL,"Changing to Clear, confirmed by OCAM. - Paranal Observatory"
00:58,2013-07-30 00:58:00,TN,Thin clouds passing by. - Paranal Observatory
01:06,2013-07-30 01:06:00,TK,"Thick to S and SW, from horizon up to 46 degrees (Alfa cen). - Paranal Observatory"
01:20,2013-07-30 01:20:00,TK,"Thick clouds passing from NW to S, max altitude at SW. Covered stars include Arcturus (NW, 30 deg), Spica (W, 35 deg) and Alfa Cen (SW, 45 deg). - Paranal Observatory"
02:26,2013-07-30 02:26:00,TN,Thick clouds still present but now below 20 deg. Thin to the SW and some coming from N too. - Paranal Observatory
03:31,2013-07-30 03:31:00,CL,Changing to Clear. - Paranal Observatory
07:14,2013-07-30 07:14:00,PH,According to OMEGACAM - Paranal Observatory
07:23,2013-07-30 07:23:00,PH				WI,Pointing restriction to N. - Paranal Observatory
08:57,2013-07-30 08:57:00,PH,Wind below 12m/s. No more pointing restriction - Paranal Observatory
22:31,2013-07-30 22:31:00,CL,- Paranal Observatory
23:25,2013-07-30 23:25:00,PH,Photometric according to FORS - Paranal Observatory
00:52,2013-07-31 00:52:00,CL,Not photometric according to FORS - Paranal Observatory
02:47,2013-07-31 02:47:00,CL,- Paranal Observatory
05:14,2013-07-31 05:14:00,CL,- Paranal Observatory
07:29,2013-07-31 07:29:00,TN,- Paranal Observatory
22:36,2013-07-31 22:36:00,TN,- Paranal Observatory
00:24,2013-08-01 00:24:00,TK,- Paranal Observatory
00:59,2013-08-01 00:59:00,TN,- Paranal Observatory
02:56,2013-08-01 02:56:00,TN,- Paranal Observatory
03:18,2013-08-01 03:18:00,WI				TN,Pointing restriction to the North - Paranal Observatory
04:43,2013-08-01 04:43:00,CL,- Paranal Observatory
07:21,2013-08-01 07:21:00,CL,- Paranal Observatory
09:42,2013-08-01 09:42:00,CL,- Paranal Observatory
22:44,2013-08-01 22:44:00,CL,- Paranal Observatory
00:59,2013-08-02 00:59:00,PH,Photometric according to FORS - Paranal Observatory
03:13,2013-08-02 03:13:00,CL,Clear according to HAWKI - Paranal Observatory
05:28,2013-08-02 05:28:00,PH,Photometric according to OMEGACAM - Paranal Observatory
09:04,2013-08-02 09:04:00,CL,- Paranal Observatory
22:42,2013-08-02 22:42:00,CL,- Paranal Observatory
23:16,2013-08-02 23:16:00,PH,Photometric according to FORS - Paranal Observatory
04:59,2013-08-03 04:59:00,PH,Photometric according to FORS - Paranal Observatory
22:55,2013-08-03 22:55:00,CL,- Paranal Observatory
01:55,2013-08-04 01:55:00,PH,Photometric according to FORS - Paranal Observatory
05:27,2013-08-04 05:27:00,PH,Photometric according to OMEGACAM - Paranal Observatory
22:43,2013-08-04 22:43:00,CL,- Paranal Observatory
23:54,2013-08-04 23:54:00,PH,Photometric according to OMEGACAM - Paranal Observatory
06:06,2013-08-05 06:06:00,PH,Photometric according to FORS - Paranal Observatory
22:31,2013-08-05 22:31:00,CL,Some thin clouds to the NORTH below 20 degrees - Paranal Observatory
23:08,2013-08-05 23:08:00,TN,"Some thin clouds raising over 30 degrees to the NNE, the rest of the sky is Clear - Paranal Observatory"
00:35,2013-08-06 00:35:00,CL,No clouds above 20 degrees - Paranal Observatory
01:36,2013-08-06 01:36:00,CL,- Paranal Observatory
03:01,2013-08-06 03:01:00,CL,- Paranal Observatory
03:18,2013-08-06 03:18:00,TN,Thin Clouds passing by to the North - Paranal Observatory
04:44,2013-08-06 04:44:00,TK,- Paranal Observatory
08:06,2013-08-06 08:06:00,TN,- Paranal Observatory
22:40,2013-08-06 22:40:00,TN,Very thin cirrus at East and South. - Paranal Observatory
00:10,2013-08-07 00:10:00,PH,According to OmegaCam Zp. A visual inspection to the sky was done and it was agreed with the classification. - Paranal Observatory
01:29,2013-08-07 01:29:00,PH,According to FORS2 Zp. - Paranal Observatory
04:05,2013-08-07 04:05:00,CL,Operations were stopped due to a general power cut. Anyway there were no visible clouds through the rest of the night. - Paranal Observatory
22:45,2013-08-07 22:45:00,CL,No visible clouds. - Paranal Observatory
23:55,2013-08-07 23:55:00,PH,According to FORS2 Zp. - Paranal Observatory
04:10,2013-08-08 04:10:00,PH,No changes. - Paranal Observatory
05:20,2013-08-08 05:20:00,PH,According to FORS2 Zp. - Paranal Observatory
07:34,2013-08-08 07:34:00,PH,No changes. - Paranal Observatory
09:00,2013-08-08 09:00:00,PH,No changes. - Paranal Observatory
22:30,2013-08-08 22:30:00,CL,No visible clouds. - Paranal Observatory
23:50,2013-08-08 23:50:00,PH,According to FORS2 and Omegacam Zp. - Paranal Observatory
02:53,2013-08-09 02:53:00,PH,No changes. - Paranal Observatory
04:30,2013-08-09 04:30:00,PH				HU,Humidity reached the 50%. No changes in the sky. - Paranal Observatory
05:41,2013-08-09 05:41:00,CL				HU,According to OMEGACAM. Humidity is still reaching the 50%. - Paranal Observatory
08:00,2013-08-09 08:00:00,CL,Humidity reached the normal level. Sky with no changes. - Paranal Observatory
09:00,2013-08-09 09:00:00,CL,No changes. - Paranal Observatory
22:35,2013-08-09 22:35:00,CL,No visible clouds. - Paranal Observatory
03:07,2013-08-10 03:07:00,PH,According to FORS. - Paranal Observatory
05:22,2013-08-10 05:22:00,PH,According to FORS. - Paranal Observatory
06:25,2013-08-10 06:25:00,PH,No changes. - Paranal Observatory
22:45,2013-08-10 22:45:00,CL,No visible clouds - Paranal Observatory
23:29,2013-08-10 23:29:00,PH,According to OmegaCam Zp. - Paranal Observatory
00:52,2013-08-11 00:52:00,PH,According to FORS. - Paranal Observatory
01:08,2013-08-11 01:08:00,PH,According to FORS. - Paranal Observatory
05:21,2013-08-11 05:21:00,PH,No changes. - Paranal Observatory
08:40,2013-08-11 08:40:00,PH,No changes. - Paranal Observatory
22:40,2013-08-11 22:40:00,CL,No visible clouds above 10 deg. alt. - Paranal Observatory
23:40,2013-08-11 23:40:00,CL,According to OmegaCam Zp. - Paranal Observatory
23:54,2013-08-11 23:54:00,CL				WI,Pointing Restriction to the South. - Paranal Observatory
00:56,2013-08-12 00:56:00,WI				TN,Thin cirrus passing by and more coming from SW - Paranal Observatory
01:44,2013-08-12 01:44:00,TN,No more pointing restriction. - Paranal Observatory
02:53,2013-08-12 02:53:00,TK,Thick clouds below 50 degrees to the N and NE. Some thin clouds coming from the SW. - Paranal Observatory
03:51,2013-08-12 03:51:00,TN,"Thin clouds below 30 degrees to the N, NE, S and SW. No visible clouds in the rest of the sky. - Paranal Observatory"
04:56,2013-08-12 04:56:00,CL,No visible clouds above 20 degrees. - Paranal Observatory
07:24,2013-08-12 07:24:00,CL,No changes. - Paranal Observatory
08:21,2013-08-12 08:21:00,CL,"No visible clouds, no changes. - Paranal Observatory"
22:40,2013-08-12 22:40:00,CL,No visible clouds. - Paranal Observatory
00:02,2013-08-13 00:02:00,PH,According to OmegaCam and FORS2  Zp. - Paranal Observatory
02:15,2013-08-13 02:15:00,PH,No changes. - Paranal Observatory
04:00,2013-08-13 04:00:00,PH,According to FORS2 Zp. - Paranal Observatory
06:50,2013-08-13 06:50:00,PH,No changes. - Paranal Observatory
10:17,2013-08-13 10:17:00,PH,According to FORS2 Zp. - Paranal Observatory
22:55,2013-08-13 22:55:00,CL,- Paranal Observatory
00:08,2013-08-14 00:08:00,CL,Clear according OMEGACAM - Paranal Observatory
07:41,2013-08-14 07:41:00,CL,- Paranal Observatory
10:11,2013-08-14 10:11:00,CL,- Paranal Observatory
23:41,2013-08-14 23:41:00,CL,- Paranal Observatory
01:00,2013-08-15 01:00:00,PH,Photometric according OMEGACAM - Paranal Observatory
08:47,2013-08-15 08:47:00,PH,Photometric according OMEGACAM - Paranal Observatory
22:51,2013-08-15 22:51:00,CL,- Paranal Observatory
00:14,2013-08-16 00:14:00,PH,Photometric according to ISAAC - Paranal Observatory
05:51,2013-08-16 05:51:00,PH,Photometric according to OMEGACAM - Paranal Observatory
22:52,2013-08-16 22:52:00,CL,- Paranal Observatory
01:31,2013-08-17 01:31:00,PH,Photometric according to OMEGACAM - Paranal Observatory
07:33,2013-08-17 07:33:00,CL,- Paranal Observatory
22:54,2013-08-17 22:54:00,CL,- Paranal Observatory
23:44,2013-08-17 23:44:00,PH,Photometric according to OMEGACAM - Paranal Observatory
07:57,2013-08-18 07:57:00,PH,Photometric according to OMEGACAM - Paranal Observatory
22:30,2013-08-18 22:30:00,CL,- Paranal Observatory
23:40,2013-08-18 23:40:00,PH,Photometric according to OMEGACAM - Paranal Observatory
06:03,2013-08-19 06:03:00,PH,Photometric according to OMEGACAM - Paranal Observatory
22:34,2013-08-19 22:34:00,CL,- Paranal Observatory
00:30,2013-08-20 00:30:00,PH,PH according OMEGACAM - Paranal Observatory
08:37,2013-08-20 08:37:00,CL,- Paranal Observatory
22:44,2013-08-20 22:44:00,CL,No visible clouds. - Paranal Observatory
23:56,2013-08-20 23:56:00,PH,According to OMEGACAM. - Paranal Observatory
01:41,2013-08-21 01:41:00,PH,No changes. - Paranal Observatory
03:24,2013-08-21 03:24:00,EQ				PH,Earthquake No Risk. - Paranal Observatory
07:18,2013-08-21 07:18:00,PH,No changes. - Paranal Observatory
23:14,2013-08-21 23:14:00,CL,No visible clouds above 20 degrees. - Paranal Observatory
23:54,2013-08-21 23:54:00,CL,According to OMEGACAM. - Paranal Observatory
01:54,2013-08-22 01:54:00,CL,No changes - Paranal Observatory
03:34,2013-08-22 03:34:00,TK,Thick clouds to the N and NE below 40 degrees. The rest of the sky without clouds. - Paranal Observatory
04:09,2013-08-22 04:09:00,TK,"Thick clouds to NW, N and NE below 45 degrees. The rest of the sky still without clouds. - Paranal Observatory"
05:14,2013-08-22 05:14:00,TN,"Thin clouds to the NW, N and NE between 30 and 40 degrees. Some thick clouds below 30 degrees in the same part of the sky. - Paranal Observatory"
07:33,2013-08-22 07:33:00,CL,Clear sky above 20 degrees. Some thin clouds below. - Paranal Observatory
22:57,2013-08-22 22:57:00,CL,No visible clouds above 20 degrees. Some clouds below. - Paranal Observatory
23:38,2013-08-22 23:38:00,PH,According to OMEGACAM. - Paranal Observatory
00:30,2013-08-23 00:30:00,PH,No changes. - Paranal Observatory
02:11,2013-08-23 02:11:00,PH,No changes. - Paranal Observatory
04:00,2013-08-23 04:00:00,PH,No changes. - Paranal Observatory
05:07,2013-08-23 05:07:00,PH,According to OMEGACAM. - Paranal Observatory
06:24,2013-08-23 06:24:00,PH,No changes. - Paranal Observatory
08:08,2013-08-23 08:08:00,PH				WI,Pointing restriction to NNE. - Paranal Observatory
08:36,2013-08-23 08:36:00,EQ				PH				WI,Earthquake ocurred (IGNORE). - Paranal Observatory
22:58,2013-08-23 22:58:00,CY,Clouds covering the entire sky. - Paranal Observatory
00:12,2013-08-24 00:12:00,TK,Thick clouds to the N and E below 45 degrees. Some thin clouds passing trough the rest of the sky. - Paranal Observatory
01:48,2013-08-24 01:48:00,CY,Thick clouds covering most of the sky. - Paranal Observatory
02:20,2013-08-24 02:20:00,CY,Telescopes closed due to risky clouds. - Paranal Observatory
03:07,2013-08-24 03:07:00,CY				WI,Telescope still closed because clouds. Strong wind from the NE. - Paranal Observatory
04:40,2013-08-24 04:40:00,CY				WI,No changes. - Paranal Observatory
05:51,2013-08-24 05:51:00,CY				WI,No changes. - Paranal Observatory
08:16,2013-08-24 08:16:00,CY				WI,Overcast. Wind speed arround 25 m/s. Night is over - Paranal Observatory
22:47,2013-08-24 22:47:00,CL,No visible clouds above 20 degrees. Some ones below. - Paranal Observatory
23:38,2013-08-24 23:38:00,CL,Telescope closed due to risky temperature. - Paranal Observatory
00:31,2013-08-25 00:31:00,CL				WI				HU,Telescope still closed due to low temperature and high humidity. Strong wind from the NE. - Paranal Observatory
02:03,2013-08-25 02:03:00,CL				WI				HU,No changes. - Paranal Observatory
03:56,2013-08-25 03:56:00,CL				WI				HU,"Ice on surfaces, negative temperatures, high humidity and strong wind. Night is over for safety. - Paranal Observatory"
23:57,2013-08-25 23:57:00,CL				HU,Telescopes were received closed due to high humidity. - Paranal Observatory
01:28,2013-08-26 01:28:00,CL,Presence of ice on the top of ATs enclosure and the roof of VLTI room. Telescopes remain closed. - Paranal Observatory
04:52,2013-08-26 04:52:00,CL,No ice on top of ATs and VLTI room. Telescopes remain closed as we are close to zero degrees and the forecast predicts negative temperatures. - Paranal Observatory
06:55,2013-08-26 06:55:00,CL,Telescope opened after checking there are no more risks for the operation. - Paranal Observatory
07:34,2013-08-26 07:34:00,CL,"Still clear, no visible clouds above 20 degrees. - Paranal Observatory"
22:47,2013-08-26 22:47:00,CL,No visible clouds above 20 degrees. - Paranal Observatory
01:00,2013-08-27 01:00:00,CL,According to OMEGACAM. - Paranal Observatory
01:45,2013-08-27 01:45:00,PH,According to FORS2. - Paranal Observatory
03:26,2013-08-27 03:26:00,PH,No changes. - Paranal Observatory
05:27,2013-08-27 05:27:00,PH,According to OMEGACAM. - Paranal Observatory
09:39,2013-08-27 09:39:00,PH,According to OMEGACAM Zp - Paranal Observatory
22:40,2013-08-27 22:40:00,CL,- Paranal Observatory
00:58,2013-08-28 00:58:00,PH,According to OMEGACAM - Paranal Observatory
04:47,2013-08-28 04:47:00,PH,according to OMEGACAM - Paranal Observatory
09:40,2013-08-28 09:40:00,PH,According to OMEGACAM - Paranal Observatory
23:20,2013-08-28 23:20:00,PH,According to FORS2 - Paranal Observatory
23:45,2013-08-28 23:45:00,PH,According to OMEGACAM - Paranal Observatory
05:22,2013-08-29 05:22:00,PH,According to OMEGACAM - Paranal Observatory
06:05,2013-08-29 06:05:00,TN,Thin clouds to NNE - Paranal Observatory
08:09,2013-08-29 08:09:00,TN,Still thin clouds passing - Paranal Observatory
10:15,2013-08-29 10:15:00,TK,Thick clouds passing from NW to NE at about 40 deg - Paranal Observatory
11:00,2013-08-29 11:00:00,,Night ended with Thick clouds from W and N with threatening precipitation - Paranal Observatory
22:40,2013-08-29 22:40:00,TK,Telescopes were handed over closed and remain in that state as current conditions are overcast with thick cirrus threatening with precipitation - Paranal Observatory
23:25,2013-08-29 23:25:00,TK,"Thick cirrus to SSE over 30deg but no clouds coming from the N, so is very likely that telescopes will open in the short time. - Paranal Observatory"
00:36,2013-08-30 00:36:00,TN,"Condition changed to thin but there're still some thick clouds up to ~20 deg, hence telescopes shall be open - Paranal Observatory"
02:28,2013-08-30 02:28:00,CL,- Paranal Observatory
05:09,2013-08-30 05:09:00,CL,Conditions remain clear - Paranal Observatory
08:30,2013-08-30 08:30:00,PH,According to OMEGACAM - Paranal Observatory
22:35,2013-08-30 22:35:00,TN,Night started with thin cirrus over 30 deg. - Paranal Observatory
00:40,2013-08-31 00:40:00,CL,Clear conditions but some clouds to the W and E below 20 deg - Paranal Observatory
01:46,2013-08-31 01:46:00,TN,Thin clouds to N-NE above 20 deg clearly seen in the MASCOT - Paranal Observatory
04:01,2013-08-31 04:01:00,TN,- Paranal Observatory
07:49,2013-08-31 07:49:00,TK,- Paranal Observatory
09:21,2013-08-31 09:21:00,TK,- Paranal Observatory
10:45,2013-08-31 10:45:00,TK,Night ended with thick clouds above 20 deg - Paranal Observatory
23:20,2013-08-31 23:20:00,CL,- Paranal Observatory
03:32,2013-09-01 03:32:00,CL,- Paranal Observatory
04:23,2013-09-01 04:23:00,CL,- Paranal Observatory
05:11,2013-09-01 05:11:00,PH,According to FORS - Paranal Observatory
06:00,2013-09-01 06:00:00,PH,According to OMEGACAM - Paranal Observatory
10:13,2013-09-01 10:13:00,TN,Thin clouds over 20 deg to the S - Paranal Observatory
22:46,2013-09-01 22:46:00,TN,Thin clouds above 20 deg to SSW and thick below 20 deg - Paranal Observatory
23:30,2013-09-01 23:30:00,TN,Still thin clouds above 20 deg - Paranal Observatory
03:58,2013-09-02 03:58:00,CL,Clear conditions - Paranal Observatory
04:50,2013-09-02 04:50:00,PH,PHO according to OMEGACAM - Paranal Observatory
10:00,2013-09-02 10:00:00,TN,Very thin clouds just above 20 deg to the S - Paranal Observatory
22:35,2013-09-02 22:35:00,CL,Night started clear - Paranal Observatory
23:50,2013-09-02 23:50:00,PH,According to FORS - Paranal Observatory
01:23,2013-09-03 01:23:00,CL,Clear sky according to OMEGACAM - Paranal Observatory
04:43,2013-09-03 04:43:00,PH,According to FORS - Paranal Observatory
05:04,2013-09-03 05:04:00,PH,According to OMEGACAM - Paranal Observatory
10:50,2013-09-03 10:50:00,PH,Night ended PHO. - Paranal Observatory
00:19,2013-09-04 00:19:00,CL,The night started as Clear - Paranal Observatory
04:41,2013-09-04 04:41:00,PH,According to OCAM. - Paranal Observatory
09:11,2013-09-04 09:11:00,PH				WI,Ponting restriction to SE. - Paranal Observatory
23:01,2013-09-04 23:01:00,CL,Starting the night as Clear. Thin cirrus passing through the SW but below 25 degrees. - Paranal Observatory
00:20,2013-09-05 00:20:00,CL,"Clear. Thin clouds passing from W to S, reaching a maximum of 20 degrees altitude at SW, on delta crux. - Paranal Observatory"
02:51,2013-09-05 02:51:00,CL,Clear. Any thin cloud is now below 10 degrees. - Paranal Observatory
23:03,2013-09-05 23:03:00,TK,Starting the night as Thick. Thick clouds above 30 degrees to the S and SW. - Paranal Observatory
00:03,2013-09-06 00:03:00,TN,Changing to Thin. Thin clouds passing from W-NW to E-SE. - Paranal Observatory
02:09,2013-09-06 02:09:00,CL,Changing to Clear. No cloud above 20 degrees. - Paranal Observatory
22:57,2013-09-06 22:57:00,CL,"Starting the night as Clear, with clouds below 15 degrees. - Paranal Observatory"
23:29,2013-09-06 23:29:00,WI,Pointing restriction to the S. - Paranal Observatory
00:45,2013-09-07 00:45:00,WI,"Pointing restriction still in effect, but now to the SE. - Paranal Observatory"
02:03,2013-09-07 02:03:00,CL				WI,Pointing restriction sill in place. Thin clouds passing to S up to 25 degrees altitude. - Paranal Observatory
02:21,2013-09-07 02:21:00,CL,Pointing restriction lifted. Clear. - Paranal Observatory
02:49,2013-09-07 02:49:00,TN,"Thin clouds to S at 32 degrees altitude, weather condition changed to Thin. - Paranal Observatory"
03:53,2013-09-07 03:53:00,WI				TN,Pointing restriction to S. - Paranal Observatory
04:28,2013-09-07 04:28:00,WI				TK,"Thick to W, 45 deg alt., to S 54 deg. alt., and to SE 41 deg. alt. Pointing restriction still in place. - Paranal Observatory"
04:54,2013-09-07 04:54:00,WI				TK,"Thick to the E, 31 deg. alt., to the N and NW, 38 deg.alt., and more coming from SW (below 20 deg. for now). - Paranal Observatory"
05:27,2013-09-07 05:27:00,TK,"Pointing restriction lifted. Thick clouds to W (21 deg), SW (38 deg) and S (27 deg). - Paranal Observatory"
05:52,2013-09-07 05:52:00,TN,Conditions changed to Thin. Thick clouds to both SW and S below 30 deg. - Paranal Observatory
06:16,2013-09-07 06:16:00,TK,Thick clouds coming form SE- SW at 50 deg at the moment - Paranal Observatory
06:32,2013-09-07 06:32:00,WI				TK,Still Thick and now pointing restriction to South - Paranal Observatory
06:50,2013-09-07 06:50:00,CY,Cloudy sky. Telescopes were closed - Paranal Observatory
07:59,2013-09-07 07:59:00,CY,"Thick clouds passing from SW to NE. Current altitudes: NW: 28 deg, W: 44 deg, SW: 55 deg, SE: 37 deg, E: 22 deg, N: 20 deg. Telescopes remain closed. - Paranal Observatory"
08:34,2013-09-07 08:34:00,CY,Thick clouds from S and SW up to the zenith. N up to 23 deg and E up to 36 deg. Pointing restriction lifted. Night finished for telescopes without visitors. - Paranal Observatory
23:03,2013-09-07 23:03:00,CL				WI,"Starting the night as Clear, with pointing restriction to the S. - Paranal Observatory"
00:54,2013-09-08 00:54:00,WI				TN,Thin cirrus coming from S and SE. Pointing restriction still in place. - Paranal Observatory
01:27,2013-09-08 01:27:00,WI				TN,Thin cirrus coming from S and SE. Thick to the E below 30 deg. Pointing restriction still in place - Paranal Observatory
02:46,2013-09-08 02:46:00,TN,Pointing restriction lifted. - Paranal Observatory
03:06,2013-09-08 03:06:00,WI				TN,"Pointing restriction to S, Clouds situation unchanged. - Paranal Observatory"
03:59,2013-09-08 03:59:00,CL				WI,"Changed to Clear, but pointing restriction still in place. - Paranal Observatory"
23:23,2013-09-08 23:23:00,CL				WI,"Starting as Clear, pointing restriction ro S. - Paranal Observatory"
00:45,2013-09-09 00:45:00,WI,"Wind above 18 m/s, closing telescopes. - Paranal Observatory"
02:18,2013-09-09 02:18:00,CL				WI,Wind below 15 m/s and stable for the past half hour. Opening telescopes with pointing restriction to the S. - Paranal Observatory
03:55,2013-09-09 03:55:00,CL,Pointing restriction lifted. - Paranal Observatory
23:10,2013-09-09 23:10:00,CL,Starting the night as Clear. - Paranal Observatory
05:30,2013-09-10 05:30:00,CL,Confirmed as Clear by OCAM. - Paranal Observatory
22:40,2013-09-10 22:40:00,CL				OT,CLOSED due to dust particles (CALIMA) 5um count 91500 and 10500 at 20 m and 30 m respectively. - Paranal Observatory
02:00,2013-09-11 02:00:00,CL				OT,CLOSED due to dust particles (CALIMA) 5um count 100000 and 10500 at 20 m and 30 m respectively. - Paranal Observatory
05:00,2013-09-11 05:00:00,CL				OT,CLOSED due to dust particles (CALIMA) 5um count 101000 and 9500 at 20 m and 30 m respectively. - Paranal Observatory
07:40,2013-09-11 07:40:00,CL,OPEN TELESCOPES dust particles 5um count 1500 and 2500 at 20 m and 30 m respectively. - Paranal Observatory
08:25,2013-09-11 08:25:00,CL,CLEAR according to OMEGACAM. - Paranal Observatory
22:40,2013-09-11 22:40:00,CL,When got to the summit dust particles (CALIMA) 5um count 2400 and 3100 at 20 m and 30 m respectively. CLEAR Sky. - Paranal Observatory
23:00,2013-09-11 23:00:00,CL				OT,CLOSE TELESCOPES dust particles (CALIMA) 5um count 13000 and 20000 at 20 m and 30 m respectively. CLEAR Sky - Paranal Observatory
00:00,2013-09-12 00:00:00,CL				OT,CLOSE TELESCOPES dust particles (CALIMA) 5um count 20000 and 20000 at 20 m and 30 m respectively. CLEAR Sky - Paranal Observatory
01:00,2013-09-12 01:00:00,CL				OT,CLOSE TELESCOPES dust particles (CALIMA) 5um count 25000 and 25000 at 20 m and 30 m respectively. CLEAR Sky - Paranal Observatory
03:45,2013-09-12 03:45:00,CL,OPEN TELESCOPES dust particles (CALIMA) 5um count 3500 and 37000 at 20 m and 30 m respectively. CLEAR Sky - Paranal Observatory
04:15,2013-09-12 04:15:00,CL				OT,CLOSE TELESCOPES dust particles (CALIMA) 5um count over10000 and 10000 at 20 m and 30 m respectively. CLEAR Sky - Paranal Observatory
06:00,2013-09-12 06:00:00,CL,OPEN TELESCOPES dust particles (CALIMA) 5um count over 1500 and 1500 at 20 m and 30 m respectively. CLEAR Sky - Paranal Observatory
08:00,2013-09-12 08:00:00,PH,PHOTOMETRIC According to OMEGACAM. - Paranal Observatory
22:45,2013-09-12 22:45:00,CL,CLEAR SKY. - Paranal Observatory
23:55,2013-09-12 23:55:00,CL,CLEAR According to OMEGACAM. - Paranal Observatory
00:45,2013-09-13 00:45:00,PH,PHOTOMETRIC According to FORS2. - Paranal Observatory
06:40,2013-09-13 06:40:00,PH,PHOTOMETRIC According to OMEGACAM - Paranal Observatory
22:45,2013-09-13 22:45:00,CL,CLEAR SKY. - Paranal Observatory
23:30,2013-09-13 23:30:00,PH,PHOTOMETRIC According to FORS2. - Paranal Observatory
05:30,2013-09-14 05:30:00,PH,PHOTOMETRIC According to OMEGACAM. - Paranal Observatory
22:45,2013-09-14 22:45:00,TK,"THICK CLOUDS West, South West and South East of the Field. - Paranal Observatory"
23:35,2013-09-14 23:35:00,TK,THICK CLOUDS over the field covering 50% of the Field. - Paranal Observatory
01:00,2013-09-15 01:00:00,CY,CLOSE TELESCOPES OVERCAST THICK CLOUDS over the field. - Paranal Observatory
02:25,2013-09-15 02:25:00,TN,RE OPEN TELESCOPES THIN Cloud Over the Field. - Paranal Observatory
03:50,2013-09-15 03:50:00,TK,THICK CLOUDS passing by over the field. - Paranal Observatory
06:35,2013-09-15 06:35:00,CY,CLOSE TELESCOPES OVERCAST THICK CLOUDS over the field. - Paranal Observatory
22:46,2013-09-15 22:46:00,CL,CLEAR SKY. - Paranal Observatory
23:30,2013-09-15 23:30:00,CL,CLEAR SKY According to OMEGACAM. - Paranal Observatory
07:45,2013-09-16 07:45:00,PH,PHOTOMETRIC According to OMEGACAM. - Paranal Observatory
22:45,2013-09-16 22:45:00,TN,THIN CLOUDS. - Paranal Observatory
01:00,2013-09-17 01:00:00,TN,THIN CLOUDS. - Paranal Observatory
07:00,2013-09-17 07:00:00,TN,THIN CLOUDS. - Paranal Observatory
22:53,2013-09-17 22:53:00,TN,Thin Cirrus all over the sky. Thick clouds below 30 deg to the SE - Paranal Observatory
01:27,2013-09-18 01:27:00,TK,Thick Cirrus arround zenith and more coming from S - Paranal Observatory
02:56,2013-09-18 02:56:00,TK,Thick Cirrus all over the sky - Paranal Observatory
05:09,2013-09-18 05:09:00,TN,Thin Cirrus passing. Thick Cirrus below 30 deg to the N - Paranal Observatory
05:31,2013-09-18 05:31:00,EQ				TN,Low risk Earthquake - Paranal Observatory
06:23,2013-09-18 06:23:00,TK,Thick Cirrus passing - Paranal Observatory
07:14,2013-09-18 07:14:00,TN,Thin Cirrus passing - Paranal Observatory
07:48,2013-09-18 07:48:00,TK,Thick Cirrus coming from SW - Paranal Observatory
22:56,2013-09-18 22:56:00,TN,Thin cirrus all over the sky. Thick Cirrus to the N below 30 deg - Paranal Observatory
00:19,2013-09-19 00:19:00,TK,Thick Cirrus arround zenith.More at 40 deg to N-NE - Paranal Observatory
05:30,2013-09-19 05:30:00,TK,Thick Cirrus passing - Paranal Observatory
08:24,2013-09-19 08:24:00,CY,Cloudy Sky. Telescopes were closed - Paranal Observatory
22:50,2013-09-19 22:50:00,CL,Clear Sky - Paranal Observatory
00:13,2013-09-20 00:13:00,PH,According to OmegaCam Zp - Paranal Observatory
05:11,2013-09-20 05:11:00,PH				WI,According to Omegacam Zp.Pointing Restriction to the N. - Paranal Observatory
08:41,2013-09-20 08:41:00,PH,Pointing Restriction is over - Paranal Observatory
09:10,2013-09-20 09:10:00,CL,According to OmegaCam Zp - Paranal Observatory
22:54,2013-09-20 22:54:00,CL,Clear Sky - Paranal Observatory
23:54,2013-09-20 23:54:00,CL,According to OmegaCam Zp - Paranal Observatory
04:47,2013-09-21 04:47:00,PH,According to OmegaCam Zp - Paranal Observatory
06:30,2013-09-21 06:30:00,PH				WI,Pointing Restriction to the N - Paranal Observatory
09:18,2013-09-21 09:18:00,CL,According to OmegaCam Zp. Pointing Restriction is over - Paranal Observatory
22:59,2013-09-21 22:59:00,CL,Once again clear sky - Paranal Observatory
00:18,2013-09-22 00:18:00,PH,According to OmegaCam Zp - Paranal Observatory
04:59,2013-09-22 04:59:00,PH,According to OmegaCam Zp - Paranal Observatory
09:29,2013-09-22 09:29:00,CL,According to Omegacam Zp - Paranal Observatory
22:57,2013-09-22 22:57:00,CL,Clear Sky - Paranal Observatory
23:52,2013-09-22 23:52:00,CL,According to OmegaCam Zp - Paranal Observatory
05:19,2013-09-23 05:19:00,PH,According to OmegaCam Zp - Paranal Observatory
09:15,2013-09-23 09:15:00,CL,According to OmegaCam Zp - Paranal Observatory
22:58,2013-09-23 22:58:00,CL,Clear Sky - Paranal Observatory
00:01,2013-09-24 00:01:00,CL,According to OmegaCam Zp - Paranal Observatory
05:20,2013-09-24 05:20:00,PH,According OnegaCam Zp - Paranal Observatory
